Date,Close
1/2/2018 16:00:00,49.84
1/3/2018 16:00:00,53.12
1/4/2018 16:00:00,53.4
1/5/2018 16:00:00,53.85
1/8/2018 16:00:00,55.5
1/9/2018 16:00:00,55.49
1/10/2018 16:00:00,55.92
1/11/2018 16:00:00,56.02
1/12/2018 16:00:00,55.75
1/16/2018 16:00:00,55.03
1/17/2018 16:00:00,56.18
1/18/2018 16:00:00,56.11
1/19/2018 16:00:00,57.53
1/22/2018 16:00:00,58.42
1/23/2018 16:00:00,59.73
1/24/2018 16:00:00,58.95
1/25/2018 16:00:00,59.09
1/26/2018 16:00:00,60.83
1/29/2018 16:00:00,61.71
1/30/2018 16:00:00,60.68
1/31/2018 16:00:00,61.45
2/1/2018 16:00:00,60.13
2/2/2018 16:00:00,58.38
2/5/2018 16:00:00,53.43
2/6/2018 16:00:00,56.4
2/7/2018 16:00:00,57.2
2/8/2018 16:00:00,54.38
2/9/2018 16:00:00,58.02
2/12/2018 16:00:00,57.01
2/13/2018 16:00:00,58.16
2/14/2018 16:00:00,60.36
2/15/2018 16:00:00,61.63
2/16/2018 16:00:00,60.96
2/20/2018 16:00:00,62.27
2/21/2018 16:00:00,60.38
2/22/2018 16:00:00,60.54
2/23/2018 16:00:00,61.48
2/26/2018 16:00:00,61.65
2/27/2018 16:00:00,61.52
2/28/2018 16:00:00,60.5
3/1/2018 16:00:00,58.05
3/2/2018 16:00:00,59.14
3/5/2018 16:00:00,58.91
3/6/2018 16:00:00,60.54
3/7/2018 16:00:00,60.46
3/8/2018 16:00:00,60.3
3/9/2018 16:00:00,61.33
3/12/2018 16:00:00,62.44
3/13/2018 16:00:00,61.93
3/14/2018 16:00:00,62.19
3/15/2018 16:00:00,62.34
3/16/2018 16:00:00,62.62
3/19/2018 16:00:00,60.25
3/20/2018 16:00:00,62.4
3/21/2018 16:00:00,62.14
3/22/2018 16:00:00,60.46
3/23/2018 16:00:00,58.24
3/26/2018 16:00:00,61.12
3/27/2018 16:00:00,56.38
3/28/2018 16:00:00,55.34
3/29/2018 16:00:00,57.9
4/2/2018 16:00:00,55.26
4/3/2018 16:00:00,56.34
4/4/2018 16:00:00,56.56
4/5/2018 16:00:00,55.35
4/6/2018 16:00:00,53.56
4/9/2018 16:00:00,53.85
4/10/2018 16:00:00,56.98
4/11/2018 16:00:00,56.56
4/12/2018 16:00:00,58.65
4/13/2018 16:00:00,57.88
4/16/2018 16:00:00,57.87
4/17/2018 16:00:00,59.39
4/18/2018 16:00:00,59.09
4/19/2018 16:00:00,57.26
4/20/2018 16:00:00,57.18
4/23/2018 16:00:00,55.97
4/24/2018 16:00:00,55.3
4/25/2018 16:00:00,54.17
4/26/2018 16:00:00,56.31
4/27/2018 16:00:00,56.58
4/30/2018 16:00:00,56.23
5/1/2018 16:00:00,56.79
5/2/2018 16:00:00,56.58
5/3/2018 16:00:00,58.25
5/4/2018 16:00:00,59.77
5/7/2018 16:00:00,62.17
5/8/2018 16:00:00,62.6
5/9/2018 16:00:00,63.95
5/10/2018 16:00:00,65.03
5/11/2018 16:00:00,63.63
5/14/2018 16:00:00,63.84
5/15/2018 16:00:00,61.39
5/16/2018 16:00:00,61.5
5/17/2018 16:00:00,61.93
5/18/2018 16:00:00,61.49
5/21/2018 16:00:00,61.06
5/22/2018 16:00:00,60.68
5/23/2018 16:00:00,61.89
5/24/2018 16:00:00,61.92
5/25/2018 16:00:00,62.32
5/29/2018 16:00:00,62.15
5/30/2018 16:00:00,63.25
5/31/2018 16:00:00,63.05
6/1/2018 16:00:00,64.41
6/4/2018 16:00:00,66.21
6/5/2018 16:00:00,66.27
6/6/2018 16:00:00,66.29
6/7/2018 16:00:00,65.72
6/8/2018 16:00:00,65.57
6/11/2018 16:00:00,65.16
6/12/2018 16:00:00,65.65
6/13/2018 16:00:00,65.6
6/14/2018 16:00:00,66.73
6/15/2018 16:00:00,66.32
6/18/2018 16:00:00,66.27
6/19/2018 16:00:00,65.04
6/20/2018 16:00:00,65.58
6/21/2018 16:00:00,64.28
6/22/2018 16:00:00,62.74
6/25/2018 16:00:00,59.78
6/26/2018 16:00:00,60.5
6/27/2018 16:00:00,58.93
6/28/2018 16:00:00,60.22
